label,cluster_no
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
maize,3
maize,1
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,1
maize,3
maize,3
maize,4
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,4
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,5
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
pigeonpeas,6
pigeonpeas,6
pigeonpeas,6
pigeonpeas,6
pigeonpeas,6
pigeonpeas,6
pigeonpeas,6
pigeonpeas,6
pigeonpeas,6
pigeonpeas,6
pigeonpeas,6
pigeonpeas,1
